Population,Phase,Treatment,ID,Sex,Stage,Sex.Stage
SN,TEMP,6,SN-6 14,HPM,2,HPM2
SN,TEMP,6,SN-6 15,HPF,3,HPF3
HL,OA,10-Low,HL-10 10,HPF,2,HPF2
HL,OA,10-Low,HL-10 11,M,2,M2
HL,OA,10-Low,HL-10 12,F,2,F2
HL,OA,10-Low,HL-10 13,M,3,M3
HL,OA,10-Low,HL-10 14,M,1,M1
HL,OA,10-Low,HL-10 15,HPF,2,HPF2
HL,OA,10-Amb,HL-10 16,F,3,F3
HL,OA,10-Amb,HL-10 17,HBS,2,HBS2
HL,OA,10-Amb,HL-10 18,M,1,M1
HL,OA,10-Amb,HL-10 19,HPM,2,HPM2
HL,OA,10-Amb,HL-10 20,F,2,F2
HL,OA,10-Amb,HL-10 21,HBS,2,HBS2
HL,OA,6-Low,HL-6 10,F,2,F2
HL,OA,6-Low,HL-6 11,M,1,M1
HL,OA,6-Low,HL-6 12,M,2,M2
HL,OA,6-Low,HL-6 13,M,1,M1
HL,OA,6-Low,HL-6 14,M,1,M1
HL,OA,6-Low,HL-6 15,F,2,F2
HL,OA,6-Amb,HL-6 16,M,1,M1
HL,OA,6-Amb,HL-6 17,M,3,M3
HL,OA,6-Amb,HL-6 18,HPF,2,HPF2
HL,OA,6-Amb,HL-6 19,M,3,M3
HL,OA,6-Amb,HL-6 20,M,2,M2
HL,OA,6-Amb,HL-6 21,HBS,2,HBS2
K,OA,10-Low,K-10 16,HPF,2,HPF2
K,OA,10-Low,K-10 17,F,1,F1
K,OA,10-Low,K-10 18,HBS,1,HBS1
K,OA,10-Low,K-10 19,HPF,2,HPF2
K,OA,10-Low,K-10 20,M,1,M1
K,OA,10-Low,K-10 21,F,3,F3
K,OA,10-Low,K-10 22,M,1,M1
K,OA,10-Low,K-10 23,HPM,3,HPM3
K,OA,10-Low,K-10 24,F,1,F1
K,OA,10-Low,K-10 25,HBS,2,HBS2
K,OA,10-Low,K-10 26,HPF,3,HPF3
K,OA,10-Low,K-10 27,M,1,M1
K,OA,10-Low,K-10 28,M,2,M2
K,OA,10-Low,K-10 29,HPM,3,HPM3
K,OA,10-Low,K-10 30,F,1,F1
K,OA,10-Amb,K-10 31,M,3,M3
K,OA,10-Amb,K-10 32,M,2,M2
K,OA,10-Amb,K-10 33,F,3,F3
K,OA,10-Amb,K-10 34,HBS,2,HBS2
K,OA,10-Amb,K-10 35,M,1,M1
K,OA,10-Amb,K-10 36,M,1,M1
K,OA,10-Amb,K-10 37,M,1,M1
K,OA,10-Amb,K-10 38,M,1,M1
K,OA,10-Amb,K-10 39,M,1,M1
K,OA,10-Amb,K-10 40,M,2,M2
K,OA,10-Amb,K-10 41,HPF,3,HPF3
K,OA,10-Amb,K-10 42,M,2,M2
K,OA,10-Amb,K-10 43,M,2,M2
K,OA,10-Amb,K-10 44,M,1,M1
K,OA,10-Amb,K-10 45,HBS,2,HBS2
K,OA,6-Low,K-6 16,M,1,M1
K,OA,6-Low,K-6 17,M,1,M1
K,OA,6-Low,K-6 18,F,1,F1
K,OA,6-Low,K-6 19,HBS,2,HBS2
K,OA,6-Low,K-6 20,HPM,2,HPM2
K,OA,6-Low,K-6 21,M,2,M2
K,OA,6-Low,K-6 22,HPM,2,HPM2
K,OA,6-Low,K-6 23,F,2,F2
K,OA,6-Low,K-6 24,M,1,M1
K,OA,6-Low,K-6 25,HBS,2,HBS2
K,OA,6-Low,K-6 26,HBS,2,HBS2
K,OA,6-Low,K-6 27,M,1,M1
K,OA,6-Low,K-6 28,M,2,M2
K,OA,6-Low,K-6 29,HPM,2,HPM2
K,OA,6-Low,K-6 30,M,1,M1
K,OA,6-Amb,K-6 31,HPM,2,HPM2
K,OA,6-Amb,K-6 32,HPM,2,HPM2
K,OA,6-Amb,K-6 33,HPM,2,HPM2
K,OA,6-Amb,K-6 34,HPM,1,HPM1
K,OA,6-Amb,K-6 35,HPM,2,HPM2
K,OA,6-Amb,K-6 36,HPM,2,HPM2
K,OA,6-Amb,K-6 37,HPF,2,HPF2
K,OA,6-Amb,K-6 38,F,3,F3
K,OA,6-Amb,K-6 39,M,1,M1
K,OA,6-Amb,K-6 40,M,1,M1
K,OA,6-Amb,K-6 41,M,3,M3
K,OA,6-Amb,K-6 42,HPM,3,HPM3
K,OA,6-Amb,K-6 43,M,3,M3
K,OA,6-Amb,K-6 44,M,3,M3
K,OA,6-Amb,K-6 45,M,2,M2
NF,OA,10-Low,NF-10 16,M,3,M3
NF,OA,10-Low,NF-10 17,M,2,M2
NF,OA,10-Low,NF-10 18,F,2,F2
NF,OA,10-Low,NF-10 19,M,2,M2
NF,OA,10-Low,NF-10 20,HPM,3,HPM3
NF,OA,10-Low,NF-10 21,HPF,3,HPF3
NF,OA,10-Low,NF-10 22,HPF,3,HPF3
NF,OA,10-Low,NF-10 23,F,3,F3
NF,OA,10-Low,NF-10 24,M,3,M3
NF,OA,10-Amb,NF-10 25,HPF,3,HPF3
NF,OA,10-Amb,NF-10 26,M,1,M1
NF,OA,10-Amb,NF-10 27,M,1,M1
NF,OA,10-Amb,NF-10 28,HPM,2,HPM2
NF,OA,10-Amb,NF-10 29,HBS,2,HBS2
NF,OA,10-Amb,NF-10 30,F,3,F3
NF,OA,10-Amb,NF-10 31,HPF,3,HPF3
NF,OA,10-Amb,NF-10 32,F,3,F3
NF,OA,10-Amb,NF-10 33,HPF,3,HPF3
NF,OA,6-Low,NF-6 16,F,1,F1
NF,OA,6-Low,NF-6 17,F,1,F1
NF,OA,6-Low,NF-6 18,M,1,M1
NF,OA,6-Low,NF-6 19,M,1,M1
NF,OA,6-Low,NF-6 20,HPM,2,HPM2
NF,OA,6-Low,NF-6 21,M,2,M2
NF,OA,6-Low,NF-6 22,M,2,M2
NF,OA,6-Low,NF-6 23,F,2,F2
NF,OA,6-Low,NF-6 24,HBS,2,HBS2
NF,OA,6-Amb,NF-6 25,F,3,F3
NF,OA,6-Amb,NF-6 26,HBS,3,HBS3
NF,OA,6-Amb,NF-6 27,F,2,F2
NF,OA,6-Amb,NF-6 28,HBS,2,HBS2
NF,OA,6-Amb,NF-6 29,F,2,F2
NF,OA,6-Amb,NF-6 30,F,1,F1
NF,OA,6-Amb,NF-6 31,M,2,M2
NF,OA,6-Amb,NF-6 32,HBS,3,HBS3
NF,OA,6-Amb,NF-6 33,F,2,F2
SN,OA,10-Low,SN-10 16,F,3,F3
SN,OA,10-Low,SN-10 17,HBS,2,HBS2
SN,OA,10-Low,SN-10 18,HPM,2,HPM2
SN,OA,10-Low,SN-10 19,HPF,2,HPF2
SN,OA,10-Low,SN-10 20,M,3,M3
SN,OA,10-Low,SN-10 21,F,3,F3
SN,OA,10-Low,SN-10 22,M,1,M1
SN,OA,10-Low,SN-10 23,F,2,F2
SN,OA,10-Low,SN-10 24,HBS,3,HBS3
SN,OA,10-Amb,SN-10 25,M,3,M3
SN,OA,10-Amb,SN-10 26,HBS,3,HBS3
SN,OA,10-Amb,SN-10 27,F,1,F1
SN,OA,10-Amb,SN-10 28,HBS,3,HBS3
SN,OA,10-Amb,SN-10 29,F,2,F2
SN,OA,10-Amb,SN-10 30,F,1,F1
SN,OA,10-Amb,SN-10 31,F,3,F3
SN,OA,10-Amb,SN-10 32,F,2,F2
SN,OA,10-Amb,SN-10 33,HPF,3,HPF3
SN,OA,6-Low,SN-6 16,HPF,3,HPF3
SN,OA,6-Low,SN-6 17,F,2,F2
SN,OA,6-Low,SN-6 18,F,1,F1
SN,OA,6-Low,SN-6 19,HPF,2,HPF2
SN,OA,6-Low,SN-6 20,F,2,F2
SN,OA,6-Low,SN-6 21,F,1,F1
SN,OA,6-Low,SN-6 22,HPF,3,HPF3
SN,OA,6-Low,SN-6 23,M,2,M2
SN,OA,6-Low,SN-6 24,HPF,2,HPF2
SN,OA,6-Amb,SN-6 25,HPF,3,HPF3
SN,OA,6-Amb,SN-6 26,F,2,F2
SN,OA,6-Amb,SN-6 27,F,1,F1
SN,OA,6-Amb,SN-6 28,M,3,M3
SN,OA,6-Amb,SN-6 29,HPF,3,HPF3
SN,OA,6-Amb,SN-6 30,HPF,3,HPF3
SN,OA,6-Amb,SN-6 31,M,1,M1
SN,OA,6-Amb,SN-6 32,F,3,F3
SN,OA,6-Amb,SN-6 33,F,2,F2
