DATE,BAY,HABITAT,POUCH,POPULATION,PH,SIZE,HAB.PH,POP.PH.HAB,DEPLOYED,SURVIVED,MASS.F,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16
9/9/18,SK,B,166,SSF2,A,L,AMB.BARE,SSF2.AMB.BARE,14,7,9.6,17.51,21.76,24.26,22.27,21.32,23.33,20.54,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/9/18,SK,B,34,FB,L,L,LOW.BARE,FB.LOW.BARE,15,10,10.4,14.64,21.36,16.93,22.68,19,24.48,20.56,21.9,24.16,10.79,NA,NA,NA,NA,NA,NA
9/9/18,SK,B,36,FB,L,L,LOW.BARE,FB.LOW.BARE,15,10,8.8,21.06,21.85,19.04,18.75,19.49,24.81,24.35,20.16,NA,NA,NA,NA,NA,NA,NA,NA
9/9/18,SK,B,28,FB,L,S,LOW.BARE,FB.LOW.BARE,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/9/18,SK,B,91,HC,L,L,LOW.BARE,HC.LOW.BARE,15,4,1.5,11,17.78,13.17,15.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/9/18,SK,B,83,HC,L,S,LOW.BARE,HC.LOW.BARE,15,4,1.3,13.9,10.9,13,14.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/9/18,SK,B,140,SSF1,L,L,LOW.BARE,SSF1.LOW.BARE,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/9/18,SK,B,123,SSF1,L,S,LOW.BARE,SSF1.LOW.BARE,5,4,5.2,24,25.5,21.5,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/9/18,SK,B,180,SSF2,L,L,LOW.BARE,SSF2.LOW.BARE,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/9/18,SK,E,1,FB,A,L,AMB.EEL,FB.AMB.EEL,15,6,6,14.5,10.5,15.5,11,15.5,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/9/18,SK,E,4,FB,A,L,AMB.EEL,FB.AMB.EEL,15,6,6,20.62,19.81,22.38,17.64,18.15,20.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/9/18,SK,E,7,FB,A,S,AMB.EEL,FB.AMB.EEL,15,1,0.4,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/9/18,SK,E,70,HC,A,L,AMB.EEL,HC.AMB.EEL,15,6,2,16.42,15.86,12.18,13.63,14.84,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/9/18,SK,E,60,HC,A,S,AMB.EEL,HC.AMB.EEL,15,9,3.7,16,16,16.2,20.1,12.5,18,13.5,16.5,13,NA,NA,NA,NA,NA,NA,NA
9/9/18,SK,E,115,SSF1,A,L,AMB.EEL,SSF1.AMB.EEL,5,1,1,23.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/9/18,SK,E,104,SSF1,A,S,AMB.EEL,SSF1.AMB.EEL,5,3,1.9,12.3,16,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/9/18,SK,E,165,SSF2,A,L,AMB.EEL,SSF2.AMB.EEL,13,2,3.5,28.43,24.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/9/18,SK,E,21,FB,L,L,LOW.EEL,FB.LOW.EEL,15,13,12.1,21.14,12.56,19.89,21.59,19.13,20.54,21.63,24.14,17.14,21.6,16.56,18.83,19.42,NA,NA,NA
9/9/18,SK,E,27,FB,L,S,LOW.EEL,FB.LOW.EEL,15,5,15.8,14.8,15.2,8.9,15.1,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/9/18,SK,E,92,HC,L,L,LOW.EEL,HC.LOW.EEL,15,3,1,7.6,16.18,15.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/9/18,SK,E,79,HC,L,S,LOW.EEL,HC.LOW.EEL,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/9/18,SK,E,148,SSF1,L,L,LOW.EEL,SSF1.LOW.EEL,5,3,3.7,19.92,18.92,21.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/9/18,SK,E,130,SSF1,L,S,LOW.EEL,SSF1.LOW.EEL,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/9/18,SK,E,187,SSF2,L,L,LOW.EEL,SSF2.LOW.EEL,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
